`torch_dtype` is deprecated! Use `dtype` instead!
  1/1997  3s  eta 5592s
  21/1997  34s  eta 3169s
  41/1997  55s  eta 2609s
  61/1997  77s  eta 2439s
  81/1997  93s  eta 2203s
  101/1997  109s  eta 2050s
  121/1997  125s  eta 1933s
  141/1997  139s  eta 1835s
  161/1997  152s  eta 1739s
  181/1997  167s  eta 1676s
  201/1997  180s  eta 1612s
  221/1997  193s  eta 1554s
  241/1997  206s  eta 1504s
  261/1997  218s  eta 1452s
  281/1997  230s  eta 1404s
  301/1997  243s  eta 1367s
  321/1997  255s  eta 1334s
  341/1997  270s  eta 1309s
  361/1997  280s  eta 1271s
  381/1997  292s  eta 1239s
  401/1997  304s  eta 1208s
  421/1997  314s  eta 1176s
  441/1997  326s  eta 1150s
  461/1997  329s  eta 1098s
  481/1997  333s  eta 1050s
  501/1997  337s  eta 1008s
  521/1997  341s  eta 966s
  541/1997  345s  eta 929s
  561/1997  349s  eta 892s
  581/1997  352s  eta 858s
  601/1997  355s  eta 825s
  621/1997  358s  eta 794s
  641/1997  361s  eta 765s
  661/1997  365s  eta 737s
  681/1997  368s  eta 711s
  701/1997  375s  eta 693s
  721/1997  383s  eta 678s
  741/1997  391s  eta 663s
  761/1997  400s  eta 650s
  781/1997  409s  eta 637s
  801/1997  418s  eta 624s
  821/1997  427s  eta 611s
  841/1997  435s  eta 598s
  861/1997  444s  eta 585s
  881/1997  451s  eta 572s
  901/1997  460s  eta 559s
  921/1997  467s  eta 546s
  941/1997  478s  eta 536s
  961/1997  485s  eta 523s
  981/1997  493s  eta 510s
  1001/1997  500s  eta 498s
  1021/1997  508s  eta 485s
  1041/1997  515s  eta 473s
  1061/1997  522s  eta 461s
  1081/1997  529s  eta 449s
  1101/1997  537s  eta 437s
  1121/1997  543s  eta 425s
  1141/1997  550s  eta 413s
  1161/1997  557s  eta 401s
  1181/1997  563s  eta 389s
  1201/1997  570s  eta 378s
  1221/1997  577s  eta 367s
  1241/1997  583s  eta 355s
  1261/1997  589s  eta 344s
  1281/1997  595s  eta 333s
  1301/1997  601s  eta 322s
  1321/1997  608s  eta 311s
  1341/1997  613s  eta 300s
  1361/1997  620s  eta 290s
  1381/1997  626s  eta 279s
  1401/1997  631s  eta 269s
  1421/1997  637s  eta 258s
  1441/1997  642s  eta 248s
  1461/1997  648s  eta 238s
  1481/1997  653s  eta 227s
  1501/1997  658s  eta 217s
  1521/1997  663s  eta 208s
  1541/1997  669s  eta 198s
  1561/1997  674s  eta 188s
  1581/1997  679s  eta 179s
  1601/1997  683s  eta 169s
  1621/1997  688s  eta 160s
  1641/1997  693s  eta 150s
  1661/1997  697s  eta 141s
  1681/1997  702s  eta 132s
  1701/1997  707s  eta 123s
  1721/1997  711s  eta 114s
  1741/1997  715s  eta 105s
  1761/1997  719s  eta 96s
  1781/1997  723s  eta 88s
  1801/1997  727s  eta 79s
  1821/1997  731s  eta 71s
  1841/1997  735s  eta 62s
